Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
addPoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab'],['UNDEF']
"addTokenToGauge(address,address,address)",ChildChainGaugeTokenAdder,20220527-child-chain-gauge-token-adder,['0xf56D2a5faA313f597812dD0EDF7f27F386Aa0913'],['UNDEF']
"add_reward(address,address)",ChildChainGauge,20230316-child-chain-gauge-factory-v2,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['UNDEF']
"add_reward(address,address,uint256)",ChildChainStreamer,20220413-child-chain-gauge-factory,['0x6f5a2eE11E7a772AeB5114A20d0D7c0ff61EB8A0'],['UNDEF']
"batchSwap(uint8,(bytes32,uint256,uint256,uint256,bytes)[],address[],(address,bool,address,bool),int256[],uint256)",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9', '0x015ACA20a1422F3c729086c17f15F10e0CfbC75A']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
denylistToken(address),ProtocolFeesWithdrawer,20220517-protocol-fee-withdrawer,"['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab', '0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20220817-aave-rebalanced-linear-pool,"['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab', '0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20221207-aave-rebalanced-linear-pool-v3,"['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x043f9687842771b3dF8852c1E9801DCAeED3f6bc']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230206-aave-rebalanced-linear-pool-v4,"['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x043f9687842771b3dF8852c1E9801DCAeED3f6bc']","['UNDEF', 'UNDEF']"
disable(),AaveLinearPoolFactory,20230410-aave-linear-pool-v5,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['UNDEF']
disable(),ComposableStablePoolFactory,20220906-composable-stable-pool,"['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab', '0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20221122-composable-stable-pool-v2,"['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab', '0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230206-composable-stable-pool-v3,"['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x043f9687842771b3dF8852c1E9801DCAeED3f6bc']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20230320-composable-stable-pool-v4,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['UNDEF']
disable(),ComposableStablePoolFactory,20230711-composable-stable-pool-v5,"['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x09Df1626110803C7b3b07085Ef1E053494155089']","['UNDEF', 'UNDEF']"
disable(),ComposableStablePoolFactory,20240223-composable-stable-pool-v6,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['UNDEF']
disable(),ERC4626LinearPoolFactory,20230206-erc4626-linear-pool-v3,"['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x043f9687842771b3dF8852c1E9801DCAeED3f6bc']","['UNDEF', 'UNDEF']"
disable(),ERC4626LinearPoolFactory,20230409-erc4626-linear-pool-v4,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['UNDEF']
disable(),ManagedPoolFactory,20221021-managed-pool,"['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab', '0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B', '0x043f9687842771b3dF8852c1E9801DCAeED3f6bc']","['UNDEF', 'UNDEF', 'UNDEF']"
